name,slug,description,img_small,img_data_mapping,api,sort_order,genre,combination_code,source,file_path,map
Percentage Bar,percentage-bar,"Percentage Bar charts represents a single superset of data, with each subset being visualised as a percentage section of area of the bar. All sections of the bar add up to 100%. Like all other one dimensional charts, percentage bar charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/per-bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.percentageBar,10,One Dimensional Charts,9b40a2,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/percentageBar.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Line,line,"Line charts are used to depict a set of data points ('markers') connected by line segments (straight or smooth) in order to show the change in data points value (usually measured with the Y axis) over a fixed range of ordinal or interval data (time, date, increasing temperature, etc. measured with the X axis). A line chart is primarily used to establish and/or analyse behaviour trend of data with respect to changing ordinal or interval data",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/line.png, https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.line.png,PykCharts.multiD.line,1,Multi Dimensional Charts,5b5f26,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Multi-series Line,multi-series-line,Sometimes we wish to visualise the trend based behaviour of several data sets against a common ordinal/ interval data range. In such cases a multi-series line offers insight into both the trend behaviour and comparison between trend behaviour for different data sets,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/multi-line.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-series.line.png,PykCharts.multiD.multiSeriesLine,2,Multi Dimensional Charts,f80d2e,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
Panel of Lines,panel-of-lines,"If we wish to visualise more than 4-5 line charts, putting all of them int a single chart causes it to quickly become cluttered. In such a situation it serves us best to create panels of single line charts that allows us to prevent excessive clutter and still derive the relevant insights from the data sets",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/line-panel.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-series.line.png,PykCharts.multiD.panelsOfLine,3,Multi Dimensional Charts,839820,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/lineChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
Bar,bar,"Bar charts utilise sets of horizontal rectangular segments with lengths proportional to the magnitude of data they represent. They may be used to represent and compare nominal/categorical or ordinal data. Bar charts can be seen as a simplification of histograms. While histograms are used to represent continuous data sets, bar charts are used to represent discrete data sets",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.bar.png,PykCharts.multiD.bar,4,Multi Dimensional Charts,e3fe0c,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/barChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""y""],""metrics_alias"":[""x""]}"
Grouped Bar,grouped-bar,"A grouped bar chart is great when you have multiple data sets of a similar nature and wish to visualise all of them against an ordinal or categorical data range on a single chart. Just like a simple bar chart, the magnitude of data is visualised in terms of the length of the horizontal rectangular bars",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grouped-bar.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.bar.png,PykCharts.multiD.groupedBar,5,Multi Dimensional Charts,a9c612,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/barChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""y"",""group""],""metrics_alias"":[""x""]}"
Column,column,Column charts are similar to bar charts. The only difference is that they use vertically oriented rectangular segments to represent the magnitude of data they represent (in terms of length of the rectangular segments). They may be used to represent and compare nominal/categorical or ordinal data,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/column.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.column.png,PykCharts.multiD.column,6,Multi Dimensional Charts,c7ba4b,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/columnChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Grouped Column,grouped-column,Grouped Column Charts are used to represent multiple data sets as vertical columns grouped over an ordinal or categorical data range on a single chart. The magnitude of data being visualised is proportional to length of the rectangular column segments,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grouped-column.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.column.png,PykCharts.multiD.groupedColumn,7,Multi Dimensional Charts,f3ef28,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/columnChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""group""],""metrics_alias"":[""y""]}"
Area,area,"Area charts are similar to line charts wherein a set of data points ('markers') are connected by line segments (straight or smooth) in order to show the change in data points value. However, they offer insight not only into the trend behaviour of the data being visualised, but also allow one to see the area under the curve/line segments. This is especially useful when both the data represented by the line and the area carved out by the line offer important insight into the data set (such as when representing cumulative totals over time)",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/area.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.area.png,PykCharts.multiD.area,8,Multi Dimensional Charts,b83ec4,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/areaChart.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""x""],""metrics_alias"":[""y""]}"
Stacked Area,stacked-area,Stacked area charts allows one to visualise multiple area charts on a single plot. This allows for comparison between trend behaviour and area under the line/curve for multiple datasets. Stacked area charts are similar to multi-line series but offer an additional data insight in the form of area carved out under the line segment/curve,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/stacked-area.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.multi-area.png,PykCharts.multiD.stackedArea,9,Multi Dimensional Charts,538f81,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/areaChart.js,"{""dimensions_required"":2,""metrics_required"":1,""dimensions_alias"":[""x"",""name""],""metrics_alias"":[""y""]}"
Scatter,scatter,"Multidimensional Scatter charts offer a method to visualise and compare datasets across 3 parameters – 2 being represented by the X and Y co-ordinates of the plotted circle and the area of the circle itself which represents the magnitude of data along another parameter. Colour of the scatter/circles offer an additional data insight, by allowing users to group data points into the data set to which they belong.",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/scatter-plot.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.scatter.png,PykCharts.multiD.scatter,10,Multi Dimensional Charts,46c5fb,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/scatterplot.js,"{""dimensions_required"":3,""metrics_required"":2,""dimensions_alias"":[""x"",""group"",""name""],""metrics_alias"":[""y"",""weight""]}"
Panel of Scatters,panel-of-scatters,"When comparing scatter plots for several data sets, doing so in a single chart may make the chart too cluttered and hence difficult to read. In order to alleviate this problem, one can use a panel of scatter charts. Each panel is a scatter chart in its own right offering data of upto 3 parameters – X & Y co-ordinates and area of the scatter circle.",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/scatter-panel.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.scatter.png,PykCharts.multiD.panelsOfScatter,11,Multi Dimensional Charts,c38c8b,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/scatterplot.js,"{""dimensions_required"":3,""metrics_required"":2,""dimensions_alias"":[""x"",""group"",""name""],""metrics_alias"":[""y"",""weight""]}"
Spider,spider,"The spider chart is called so because it looks like the web of a spider. It consists of a sequence of equi-angular spokes, called radii, with each spoke representing one of the variables. The data being represented is visualised as points/circles on these spokes/radii, with the distance of the point from the centre being proportional to the relative magnitude of the data. A line is used to connect the points/circles on different radii in order to group data points into their respective data sets. It is best used when one wishes to visualise several data sets on a single chart and compare the data sets on 5-8 different variables/parameters",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/spider.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.spider.png,PykCharts.multiD.spiderWeb,13,Multi Dimensional Charts,3a6aa1,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/spiderWeb.js,"{""dimensions_required"":2,""metrics_required"":2,""dimensions_alias"":[""x"",""group""],""metrics_alias"":[""y"",""weight""]}"
Pulse,circle-comparison,"Pulse charts are a variation of scatter charts in which the scatter circles are plotted against primarily nominal/categorical and/or ordinal parameters serving as X and Y axes. As a result of this choice of axes, no two circles overlap and the chart is visualised as a grid of circles. The circle is further used to represent a third dimension of data, with the area of the circle depicting the magnitude of the data.",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/pulse.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.scatter.png,PykCharts.multiD.pulse,12,Multi Dimensional Charts,65b818,public/PykCharts/src/js/multiD/multiD.js,public/PykCharts/src/js/multiD/scatterplot.js,"{""dimensions_required"":4,""metrics_required"":1,""dimensions_alias"":[""x"",""y"",""group"",""name""],""metrics_alias"":[""weight""]}"
Pie,pie,"Pie charts are one of world's most commonly used data visualizations. These are best used with similar and comparable data that can be represented as portions in a whole. The size/area of each wedge is used to represent the magnitude of the data being visualised. Ideally, pie charts should depict no more than 5 wedges. Abiding by good design principles, all one dimension charts including pie allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/pie.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.pie,1,One Dimensional Charts,d2cfab,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/pie.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Donut,donut,"Donut charts are similar to pie charts in that they help represent data as portions of a whole. Additionally, they allow one to provide a total sum of all data portions based on which the portions have been determined. On the other hand, donut charts are sometimes harder to read if portions are of similar sizes. Hence, it is necessary to ensure that the portions are well-labeled. Like pie charts, donut charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/donut.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.map.png,PykCharts.oneD.donut,2,One Dimensional Charts,20a09b,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/pie.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Semi Pie,election-pie,"Semi pie/ election pie charts serve a comparable role to pie charts but their use is primarily well-known for charting out election results and parliamentary seat distribution. They primarily show how comparable data may be represented as portions of a half pie. Like pie charts, semi pie charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/election-pie.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.electionPie,3,One Dimensional Charts,a8281b,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/pie.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Semi Donut,election-donut,"Semi donut charts are very similar to semi pie charts that represent comparable data as portions of a half donut. Again, like semi-pie chart their use is most well know for charting out election results and also allow one to provide the total of portions forming the semi-donut. Like all other one dimensional charts, semi donut charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/election-donut.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.electionDonut,4,One Dimensional Charts,a93b2d,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/pie.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Pyramid,percentage-triangle,"A pyramid or percentage triangle chart uses areas of sections of a triangle in order to communicate relative proportions/magnitude of data sets. It is best used to visualise data sets that have a single hierarchical relationship with each data set being typically a superset of data sets that are located higher up the pyramid than itself. Like all other one dimensional charts, pyramid charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/pyramid.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.pyramid,7,One Dimensional Charts,bbe7eb,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/pyramid.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
1D Bubble,bubble,"One dimensional bubble charts are used to show comparable data sets as a cluster of circles ('bubbles'). The area of these circles is used to communicate the relative comparison in terms of data value between the displayed data sets. Like all other one dimensional charts, 1D bubble charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/bubble.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.bubble,5,One Dimensional Charts,eb344c,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/bubble.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Treemap,percentage-rectangle,"A treemap or percentage rectangle chart uses the areas of rectangles to show relative proportions/ magnitude of one dimensional data sets. It works well if the data being visualised has some for of hierarchical structure – with parent nodes, children, etc. Like all other one dimensional charts, treemaps allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/tree.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.treemap,6,One Dimensional Charts,579edc,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/treemap.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Funnel,funnel,"A funnel chart is used to represent data sets in a single hierarchy with the sections of the funnel communicating relative proportions/ magnitude of data sets. Typically, funnel charts communicate some kind of flow or filter process with each data set being a subset of the data set preceding it in the funnel. Like all other one dimensional charts, funnel charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/funnel.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.funnel,8,One Dimensional Charts,8cf6ed,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/funnel.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Percentage Column,percentage-column,"Percentage Column charts represents a single superset of data, with each subset being visualised as a percentage section of area of the column. All sections of the column add up to 100%. Like all other one dimensional charts, percentage column charts allow for only a single colour to be used for all segments and only upto one specific segment to be highlighted in a different colour/hue",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/per-column.png,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.1d.png,PykCharts.oneD.percentageColumn,9,One Dimensional Charts,07311c,public/PykCharts/src/js/oneD/oneD.js,public/PykCharts/src/js/oneD/percentageColumn.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""name""],""metrics_alias"":[""weight""]}"
Grid,grid,Grid,https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grid-icon.png,,handsontable,1,Grid,e91b52,,,{}
Choropleth,one-layer-map,"Choropleth are map charts that use several colours or a single colour with various saturations in order to represent a data set over a geographical map. They provide a snapshot of how magnitude of data varies by geographic location, the magnitude of data being represented by the variation in saturation or hues of colours. Choropleth maps are best used when one wishes to provide a snapshot for a fixed/static moment in time",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/world-heat.png, https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/data.map.png,PykCharts.maps.oneLayer,1,Map Charts,CH,PykCharts/src/js/maps/maps.js,PykCharts/src/js/maps/oneLayer.js,"{""dimensions_required"":1,""metrics_required"":1,""dimensions_alias"":[""iso2""],""metrics_alias"":[""size""]}"
One Number indicators,one-number-indicator,"One number indicators",https://s3-ap-southeast-1.amazonaws.com/charts.pykih.com/icons/grid-icon.png,,one-number-indicator,1,One Number Indicator,b978ff,,,"{""dimensions_required"":3,""metrics_required"":2,""dimensions_alias"":[""key"",""content"",""title""],""metrics_alias"":[""value"",""diff_in_value""]}"