"id","dataset","created_at","updated_at"
1,"2023601_Ag_DE_DISMARC","2016-03-08 06:59:30.702429","2016-03-08 06:59:30.702429"
2,"2022608_Ag_NO_ELocal_DiMu","2016-03-08 06:59:30.703803","2016-03-08 06:59:30.703803"
3,"2023003_Ag_BE_Elocal_Erfgoedregister","2016-03-08 06:59:30.704577","2016-03-08 06:59:30.704577"
4,"2022611_Ag_NO_ELocal_difo","2016-03-08 06:59:30.705372","2016-03-08 06:59:30.705372"
5,"08701_Ag_EU_BHL","2016-03-08 06:59:30.706142","2016-03-08 06:59:30.706142"
6,"2023865_AG-EU_LinkedHeritage_DigiCult_eG","2016-03-08 06:59:30.706947","2016-03-08 06:59:30.706947"
7,"2058602_Ag_EU_LoCloud_Zavad-Jara","2016-03-08 06:59:30.707724","2016-03-08 06:59:30.707724"
8,"2022701c_Ag_ES_Hispana_esegen2","2016-03-08 06:59:30.708495","2016-03-08 06:59:30.708495"
9,"2024906_Ag_EU_EuropeanaPhotography_Lithuania_1024","2016-03-08 06:59:30.709263","2016-03-08 06:59:30.709263"
10,"09404_Ag_PL_ELocal.xml","2016-03-08 06:59:30.710026","2016-03-08 06:59:30.710026"
11,"07602_Ag_IT_Culturalitalia_RegioneMarche","2016-03-08 06:59:30.710956","2016-03-08 06:59:30.710956"
12,"2021648_Ag_NL_DigitaleCollectie_DiMCoN:Gerderland","2016-03-08 06:59:30.711729","2016-03-08 06:59:30.711729"
13,"09102_Ag_EU_MIMO_ESE","2016-03-08 06:59:30.712503","2016-03-08 06:59:30.712503"
14,"2020901_Ag_DK_Danske_Billeder","2016-03-08 06:59:30.713275","2016-03-08 06:59:30.713275"
15,"2022701b_Ag_ES_Hispana_esegen1","2016-03-08 06:59:30.71404","2016-03-08 06:59:30.71404"
16,"09428_Ag_DE_ELocal.xml","2016-03-08 06:59:30.714852","2016-03-08 06:59:30.714852"
17,"2048011_Ag_EU_AthenaPlus_ICCu_CulturItalia","2016-03-08 06:59:30.715622","2016-03-08 06:59:30.715622"
18,"02030_Ag_PT_DGPC_ALL_Masterpieces","2016-03-08 06:59:30.716391","2016-03-08 06:59:30.716391"
19,"2022701d_Ag_ES_Hispana_esegen","2016-03-08 06:59:30.717153","2016-03-08 06:59:30.717153"
20,"10501_Ag_PT_RNOD","2016-03-08 06:59:30.71792","2016-03-08 06:59:30.71792"
21,"2023874_AG-EU_LinkedHeritage_Latvia","2016-03-08 06:59:30.71873","2016-03-08 06:59:30.71873"
22,"2058611_Ag_EU_LoCloud_Swiss","2016-03-08 06:59:30.719504","2016-03-08 06:59:30.719504"
23,"09411_Ag_GR_ELocal","2016-03-08 06:59:30.720274","2016-03-08 06:59:30.720274"
24,"2021614_Ag_NL_DigitaleCollectie_limburgs_erfgoed","2016-03-08 06:59:30.721045","2016-03-08 06:59:30.721045"
25,"2021622_Ag_NL_DigitaleCollectie_BBWO2","2016-03-08 06:59:30.721791","2016-03-08 06:59:30.721791"
26,"08551_Ag_EU_ATHENA_Ministry_of_Culture_Slovakia","2016-03-08 06:59:30.722529","2016-03-08 06:59:30.722529"
27,"2026119_Ag_EU_PartagePlus_1033","2016-03-08 06:59:30.7233","2016-03-08 06:59:30.7233"
28,"08560_Ag_EU_ATHENA_State_agency_Culture_informatio","2016-03-08 06:59:30.724025","2016-03-08 06:59:30.724025"
29,"2058401_Ag_EU_Daguerreobase","2016-03-08 06:59:30.72474","2016-03-08 06:59:30.72474"
30,"2048077_Ag_EU_AthenaPlus_FotoMarburg","2016-03-08 06:59:30.725461","2016-03-08 06:59:30.725461"
31,"2020720_Ag_EU_CARARE_Cyprus","2016-03-08 06:59:30.726192","2016-03-08 06:59:30.726192"
32,"2048087_Ag_EU_AthenaPlus_CollectionsTrust","2016-03-08 06:59:30.726933","2016-03-08 06:59:30.726933"
33,"09426_Ag_MT_Elocal","2016-03-08 06:59:30.727648","2016-03-08 06:59:30.727648"
34,"2022202_M_UK_3D-COFORM2","2016-03-08 06:59:30.728388","2016-03-08 06:59:30.728388"
35,"2022610_Ag_NO_ELocal_sffKL","2016-03-08 06:59:30.729105","2016-03-08 06:59:30.729105"
36,"2021803_Ag_LT_SNL_documents_and_manuscripts","2016-03-08 06:59:30.729807","2016-03-08 06:59:30.729807"
37,"2023844_AG-EU_LinkedHeritage_SapienzaLibrary","2016-03-08 06:59:30.730524","2016-03-08 06:59:30.730524"
38,"2026101_Ag_EU_PartagePlus_1005","2016-03-08 06:59:30.731249","2016-03-08 06:59:30.731249"
39,"09403_Ag_AT_ELocal","2016-03-08 06:59:30.731963","2016-03-08 06:59:30.731963"
40,"2026104_Ag_EU_PartagePlus_1012","2016-03-08 06:59:30.73269","2016-03-08 06:59:30.73269"
41,"2023901_Ag_EU_NaturalEurope_all","2016-03-08 06:59:30.733417","2016-03-08 06:59:30.733417"
42,"2048044_Ag_EU_AthenaPlus_EstonianCulture","2016-03-08 06:59:30.734145","2016-03-08 06:59:30.734145"
43,"08506_Ag_EU_ATHENA_Central_Library_of_the_Bulgaria","2016-03-08 06:59:30.734893","2016-03-08 06:59:30.734893"
44,"2023813_AG-EU_LinkedHeritage_Padova","2016-03-08 06:59:30.735598","2016-03-08 06:59:30.735598"
45,"2023834_AG-EU_LinkedHeritage_IDU","2016-03-08 06:59:30.736315","2016-03-08 06:59:30.736315"
46,"2048076_Ag_EU_AthenaPlus_JewishArchive","2016-03-08 06:59:30.737027","2016-03-08 06:59:30.737027"
47,"2048221_Ag_EU_EuropeanaFashion_1040","2016-03-08 06:59:30.737736","2016-03-08 06:59:30.737736"
48,"2022613_Ag_NO_ELocal_MUSIT","2016-03-08 06:59:30.738457","2016-03-08 06:59:30.738457"
49,"2023816_AG-EU_LinkedHeritage_AcademyofSciences","2016-03-08 06:59:30.739209","2016-03-08 06:59:30.739209"
50,"2048111_Ag_HU_MaNDA_image5","2016-03-08 06:59:30.739941","2016-03-08 06:59:30.739941"
53,"2020902_Ag_DK_Elocal","2016-03-08 06:59:30.742109","2016-03-08 06:59:30.742109"
54,"2022620_Ag_NO_ELocal_GoogleFieldTrip","2016-03-08 06:59:30.742827","2016-03-08 06:59:30.742827"
55,"2048118_Ag_HU_MaNDA_image8","2016-03-08 06:59:30.743557","2016-03-08 06:59:30.743557"
56,"04101_M_BE_FlemishArtCollection_ese","2016-03-08 06:59:30.74428","2016-03-08 06:59:30.74428"
57,"08504_Ag_EU_ATHENA_Ministry_for_Cultural_Heritage_and_Activities","2016-03-08 06:59:30.745026","2016-03-08 06:59:30.745026"
58,"08517_Ag_EU_ATHENA_Petofi_Literary_Museum","2016-03-08 06:59:30.745747","2016-03-08 06:59:30.745747"
59,"08535_Ag_EU_ATHENA_Institute_for_Museum_Research","2016-03-08 06:59:30.746476","2016-03-08 06:59:30.746476"
60,"08536_Ag_EU_ATHENA_Bibliotheksservice-Zentrum_Bade","2016-03-08 06:59:30.7472","2016-03-08 06:59:30.7472"
61,"09431_Ag_BG_ELocal","2016-03-08 06:59:30.747917","2016-03-08 06:59:30.747917"
62,"11601_Ag_EU_OpenUp!_NHMV","2016-03-08 06:59:30.748621","2016-03-08 06:59:30.748621"
63,"11622_Ag_EU_OpenUp!_MFN_MINERALOGY","2016-03-08 06:59:30.749345","2016-03-08 06:59:30.749345"
64,"2023803_AG_EU_LinkedHeritage_PROBADO3D","2016-03-08 06:59:30.750066","2016-03-08 06:59:30.750066"
65,"2024907_Ag_EU_EuropeanaPhotography_Gencat_1062","2016-03-08 06:59:30.750827","2016-03-08 06:59:30.750827"
66,"2048002_Ag_EU_AthenaPlus_LietuvosArt","2016-03-08 06:59:30.75155","2016-03-08 06:59:30.75155"
67,"2048003_Ag_EU_AthenaPlus_CyprusInstitute","2016-03-08 06:59:30.752273","2016-03-08 06:59:30.752273"
69,"2048088_Ag_EU_AthenaPlus_InternetCulturale","2016-03-08 06:59:30.753697","2016-03-08 06:59:30.753697"
70,"2048103_Ag_HU_MaNDA_images","2016-03-08 06:59:30.754423","2016-03-08 06:59:30.754423"
71,"2048120_Ag_HU_MaNDA_image9","2016-03-08 06:59:30.755153","2016-03-08 06:59:30.755153"
72,"2048121_Ag_HU_MaNDA_image10","2016-03-08 06:59:30.755893","2016-03-08 06:59:30.755893"
73,"2048712_Ag_EU_3D-ICONS_CMC","2016-03-08 06:59:30.756613","2016-03-08 06:59:30.756613"
74,"2058610_Ag_EU_LoCloud_MECD","2016-03-08 06:59:30.757339","2016-03-08 06:59:30.757339"
75,"2021401_Europeana_VirtualExhibits","2016-03-08 06:59:30.758071","2016-03-08 06:59:30.758071"
79,"08548_Ag_EU_ATHENA_Estonian_Ministry_of_Culture","2016-03-08 06:59:30.760958","2016-03-08 06:59:30.760958"
81,"08618_Ag_EU_EFG_Estonian_Filmarchives","2016-03-08 06:59:30.762443","2016-03-08 06:59:30.762443"
82,"09329_Ag_EU_Judaica_Hungarian_Jewish_Archives2","2016-03-08 06:59:30.76318","2016-03-08 06:59:30.76318"
83,"10102_Ag_EU_STERNA_39","2016-03-08 06:59:30.763911","2016-03-08 06:59:30.763911"
84,"11615_Ag_EU_OpenUp!_UCPH","2016-03-08 06:59:30.764644","2016-03-08 06:59:30.764644"
85,"11617_Ag_EU_OpenUp!_UTNHM","2016-03-08 06:59:30.76537","2016-03-08 06:59:30.76537"
86,"2020712_Ag_EU_CARARE_Slovenia","2016-03-08 06:59:30.766092","2016-03-08 06:59:30.766092"
87,"2021002_Ag_FI_NDL_fng","2016-03-08 06:59:30.766827","2016-03-08 06:59:30.766827"
89,"2021802_Ag_LT_SNL_Art","2016-03-08 06:59:30.768252","2016-03-08 06:59:30.768252"
90,"2022403_Ag_RO_Elocal_NEAMT","2016-03-08 06:59:30.768984","2016-03-08 06:59:30.768984"
91,"2022602_Ag_NO_ELocal_Foto-SF","2016-03-08 06:59:30.769703","2016-03-08 06:59:30.769703"
92,"2023810_AG-EU_LinkedHeritage_InternetCulturale","2016-03-08 06:59:30.770433","2016-03-08 06:59:30.770433"
93,"2023811_AG-EU_LinkedHeritage_EtnografskiMuzej","2016-03-08 06:59:30.77116","2016-03-08 06:59:30.77116"
95,"2023821_AG-EU_LinkedHeritage_Patras","2016-03-08 06:59:30.772631","2016-03-08 06:59:30.772631"
97,"2024910_Ag_EU_EuropeanaPhotography_Polfoto_1014","2016-03-08 06:59:30.774244","2016-03-08 06:59:30.774244"
98,"2026108_Ag_EU_PartagePlus_1021","2016-03-08 06:59:30.77501","2016-03-08 06:59:30.77501"
99,"2048006_Ag_EU_AthenaPlus_IrodalmiMuseum","2016-03-08 06:59:30.775749","2016-03-08 06:59:30.775749"
100,"2048046_Ag_EU_AthenaPlus_Gencat","2016-03-08 06:59:30.776493","2016-03-08 06:59:30.776493"
102,"2048051_Ag_EU_AthenaPlus_SNHM","2016-03-08 06:59:30.777968","2016-03-08 06:59:30.777968"
103,"2048107_Ag_HU_MaNDA_image3","2016-03-08 06:59:30.778745","2016-03-08 06:59:30.778745"
104,"2048109_Ag_HU_MaNDA_image4","2016-03-08 06:59:30.779499","2016-03-08 06:59:30.779499"
105,"2048113_Ag_HU_MaNDA_image6","2016-03-08 06:59:30.780236","2016-03-08 06:59:30.780236"
106,"2048215_Ag_EU_EuropeanaFashion_1033","2016-03-08 06:59:30.780959","2016-03-08 06:59:30.780959"
107,"2048306_Ag_EU_ApeX_NLLdnRAL","2016-03-08 06:59:30.781682","2016-03-08 06:59:30.781682"
108,"2048316_Ag_EU_ApeX_EETLA","2016-03-08 06:59:30.782404","2016-03-08 06:59:30.782404"
110,"2048703_Ag_EU_3D-ICONS_ICA","2016-03-08 06:59:30.783888","2016-03-08 06:59:30.783888"
111,"2048705_Ag_EU_3D-ICONS_DISC","2016-03-08 06:59:30.784639","2016-03-08 06:59:30.784639"
112,"2058613_Ag_EU_LoCloud_AIT","2016-03-08 06:59:30.78537","2016-03-08 06:59:30.78537"
113,"2058616_Ag_EU_LoCloud_BJC","2016-03-08 06:59:30.786118","2016-03-08 06:59:30.786118"
114,"15903_AV_IE_ARD_text28","2016-03-08 06:59:30.78686","2016-03-08 06:59:30.78686"
115,"2021705_Ag_CY_Cyprus_Library","2016-03-08 06:59:30.787638","2016-03-08 06:59:30.787638"
116,"919111_L_Es_BibCatalunya_Barcelona_FotosOC","2016-03-08 06:59:30.788368","2016-03-08 06:59:30.788368"
118,"15412_Ag_IE_IMC_itma_2","2016-03-08 06:59:30.789847","2016-03-08 06:59:30.789847"
119,"2021502_Ag_BG_Ontotext_hdl_pub_3","2016-03-08 06:59:30.790597","2016-03-08 06:59:30.790597"
120,"2023509_Ag_FR_ELocal_CTHMPO01","2016-03-08 06:59:30.791333","2016-03-08 06:59:30.791333"
122,"91932_L_ES_BibCatalunya_mapesBC","2016-03-08 06:59:30.792773","2016-03-08 06:59:30.792773"
123,"91956_L_Es_BibCatalunya_fulletsAB","2016-03-08 06:59:30.79351","2016-03-08 06:59:30.79351"
125,"2058628_Ag_EU_LoCloud_PL","2016-03-17 10:37:01.18616","2016-03-17 10:37:01.18616"
126,"2048319_Ag_EU_ApeX_NLHaNA","2016-05-20 05:33:57.237395","2016-05-20 05:33:57.237395"
127,"08566_Ag_EU_ATHENA_Royal_Museum_for_Art_and_Histor","2016-05-20 05:33:57.386945","2016-05-20 05:33:57.386945"
128,"2048007_Ag_EU_AthenaPlus_HallwylskaMuseum","2016-05-20 05:33:57.441749","2016-05-20 05:33:57.441749"
129,"2023809_AG-EU_LinkedHeritage_ByzantineMuseum","2016-05-20 05:33:57.500499","2016-05-20 05:33:57.500499"
130,"08511_Ag_EU_ATHENA_InstituteforCulturalMemory(CIME","2016-05-20 05:33:57.541939","2016-05-20 05:33:57.541939"
131,"08520_Ag_EU_ATHENA_Ministry_of_Culture_of_the_Repu","2016-05-20 05:33:57.585981","2016-05-20 05:33:57.585981"
132,"08562_Ag_EU_ATHENA_KHI_Florenz","2016-05-20 05:33:57.625632","2016-05-20 05:33:57.625632"
133,"2021609_Ag_NL_DigitaleCollectie_museum-rotterdam","2016-05-20 05:33:57.683351","2016-05-20 05:33:57.683351"
134,"2023820_AG-EU_LinkedHeritage_MuseesRoyaux","2016-05-20 05:33:57.749","2016-05-20 05:33:57.749"
135,"2024903_Ag_EU_EuropeanaPhotography_KULeuven_1010","2016-05-20 05:33:57.794123","2016-05-20 05:33:57.794123"
136,"2048048_Ag_EU_AthenaPlus_Merab","2016-05-20 05:33:57.837664","2016-05-20 05:33:57.837664"
137,"2048611_Ag_EU_DM2E_sbb_kpe","2016-05-20 05:33:57.890919","2016-05-20 05:33:57.890919"
138,"92083_Ag_GE_TEL_Germany_EuropeanaRegia","2016-05-20 05:33:57.944777","2016-05-20 05:33:57.944777"
139,"2032013_Ag_EU_EInside_SPK","2016-05-20 05:33:58.004252","2016-05-20 05:33:58.004252"
